filepath,scan,frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1069.531867,3.071409203475516,1069.8651,311.56902405794693,3.0,False,2948
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1069.533192,3.799679117045353,1069.8651,310.32977983528053,3.0,False,2948
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1069.8663000000001,1.602599392146092,1069.8651,-1.1216354792683185,3.0,True,2948
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1069.867625,2.510589023857665,1069.8699,2.1264312954855815,2.0,True,2949
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1070.2007330000001,0.6981002423089208,1070.2969,89.8588433315183,1.0,False,2951
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1070.202059,1.3099747304950788,1070.2969,88.61971363492552,1.0,False,2951
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1070.535167,0.2627075220321746,1070.5464,10.492882762017125,2.0,True,2955
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1070.536492,0.5706314886046164,1070.5464,9.255172592468535,2.0,True,2955
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1070.8696,0.08740878082754157,1070.7144,-144.9289437293976,7.0,False,2957
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1070.870925,0.21473876569507422,1070.7144,-146.16607505696743,7.0,False,2957
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,z31-2NH3,3,0,0,0,0,0,1,55.02347149513325,0.0,0.7880864562820121,0.5280358355387148,1071.205359,0.07144848217752485,1071.3381,123.91741591342831,4.0,False,2960
