frag_id,charge,H2O,NH3,CO,CO2,2H2O,2NH3,%H,%2H,css,rawcos,theory_mz,theory_int,obs_mz,ppm,obs_int,within,obs_idx
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1805.3580499999998,6.832667164906687,1805.3671,5.0128560371255375,3.824,True,16003
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1805.3600379999998,2.1849727095781204,1805.3671,3.9116851217976754,3.824,True,16003
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1805.8597,7.000000000000001,1805.8597,0.0,7.0,True,16009
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1805.861688,4.158811506229704,1805.8597,-1.1008595028031867,7.0,True,16009
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1805.863676,2.8083269773584942,1805.8597,-2.201716581825752,7.0,True,16009
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1806.36135,5.071262784242534,1806.3907,16.24813329847995,7.824,True,16016
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1806.3633379999999,4.2606612968254405,1806.3907,15.147561636372844,7.824,True,16016
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1806.3653259999999,5.345285318894833,1806.3907,14.046992396739675,7.824,True,16016
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1806.8629999999998,2.8926406627687413,1806.8527,-5.700487529998456,9.333,True,16023
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1806.8649879999998,3.0867047244076264,1806.8527,-6.8007294853281,9.333,True,16023
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1806.8669759999998,5.476191994897915,1806.8527,-7.900969019581887,9.333,True,16023
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1807.36465,1.3751051733390225,1807.3774,7.054470164665668,4.0,True,16035
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1807.366638,1.7606517310688954,1807.3774,5.954519561134781,4.0,True,16035
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1807.368626,3.967315523298954,1807.3774,4.854571377366822,4.0,True,16035
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1807.8663,0.5642167364920558,1807.9069,22.457412918223202,6.549,False,16041
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1807.868288,0.8369796273014302,1807.9069,21.357750592977588,6.549,False,16041
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1807.8702759999999,2.2629508059386256,1807.9069,20.258090686189465,6.549,False,16041
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1808.3679499999998,0.20460074463335004,1808.3986,16.948984303858413,4.118,True,16048
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1808.3699379999998,0.343419487456123,1808.3986,15.849633085510634,4.118,True,16048
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1808.3719259999998,1.0757628489116948,1808.3986,14.750284284265431,4.118,True,16048
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1808.871588,0.12453349628013999,1808.908,20.12967655718826,6.0,False,16056
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1808.873576,0.4413941679664604,1808.908,19.030627931481543,6.0,True,16056
z35-NH3,2,0,1,0,0,0,0,25.456764318609437,32.719364264284856,0.8835693674967546,0.6063996831987858,1809.3752259999999,0.16006185141590057,1809.3026,-40.138716920787644,6.902,False,16062
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1226.268533,4.021347728874561,1226.4539,151.16346461777962,6.0,False,2171
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1226.602966,7.719338886870313,1226.5823,-16.848157531596854,6.0,True,2173
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1226.9374,8.143,1226.9374,0.0,8.143,True,2179
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1227.271833,6.147053265806778,1227.286,11.543489892872916,5.0,True,2180
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1227.606266,3.681063182243601,1227.6182,9.721358004116665,6.023,True,2182
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1227.9406999999999,1.8463168091622282,1227.9741,27.200010554279,3.857,False,2184
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1228.2751329999999,0.8019806618559975,1228.05,-183.29199537732103,3.442,False,2186
b36-NH3,3,0,1,0,0,0,0,0.0,0.0,0.8829813681584234,0.7834440136122178,1228.6095659999999,0.30855448052372214,1228.7042,77.0252833926265,3.0,False,2187
