filepath,scan,mz_min,mz_max,precursor_charge,reduction,charge,proton_count,h_transfer,loss_formula,loss_count,anchor_theory_mz,anchor_obs_mz,anchor_ppm,anchor_int,anchor_rel_int,shift_mz,range_min_mz,range_max_mz
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,,0,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1549.1362047066,1551.5441247066
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,,0,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1549.3376600000001,1551.74558
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,,0,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1549.5391152933998,1551.9470352934
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,,0,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1549.7405705868,1552.1484905868
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,H2O,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.33263647646,1547.7405564764601
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,H2O,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.53409176986,1547.94201176986
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,H2O,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.7355470632601,1548.14346706326
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,H2O,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.9370023566598,1548.34492235666
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,H2O,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1546.13845765006,1548.54637765006
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,NH3,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.529439592998,1547.937359592998
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,NH3,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.730894886398,1548.138814886398
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,NH3,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1545.932350179798,1548.340270179798
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,NH3,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1546.1338054731978,1548.5417254731979
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,NH3,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1546.335260766598,1548.743180766598
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,CO,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1477.3012541469482,1479.7091741469483
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,CO,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1477.502709440348,1479.9106294403482
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,CO,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1477.7041647337483,1480.1120847337481
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,CO,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1477.905620027148,1480.313540027148
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,CO,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1478.1070753205481,1480.5149953205482
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,CO2,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1540.1367835653762,1542.544703565376
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,CO2,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1540.338238858776,1542.746158858776
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,CO2,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1540.539694152176,1542.9476141521761
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,CO2,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1540.741149445576,1543.149069445576
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,CO2,1,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1540.9426047389761,1543.350524738976
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,H2O,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1541.73052353972,1544.1384435397201
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,H2O,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1541.93197883312,1544.33989883312
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,H2O,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.1334341265201,1544.54135412652
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,H2O,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.3348894199198,1544.74280941992
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,H2O,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.53634471332,1544.94426471332
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,4,-2,NH3,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.124129772796,1544.5320497727962
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,5,-1,NH3,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.325585066196,1544.733505066196
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,6,0,NH3,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.527040359596,1544.934960359596
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,7,1,NH3,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.728495652996,1545.136415652996
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,1,5,8,2,NH3,2,1550.352567363268,1550.1403,136.91554278456354,37760.0,1.0,-0.21226736326798346,1542.929950946396,1545.337870946396
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,4,-2,,0,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1935.9205617665,1938.9304617665
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,5,-1,,0,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1936.1723808832498,1939.1822808832499
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,6,0,,0,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1936.4242,1939.4341
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,7,1,,0,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1936.6760191167498,1939.6859191167498
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,8,2,,0,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1936.9278382334999,1939.9377382334999
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,4,-2,H2O,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1931.417920595575,1934.427820595575
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,5,-1,H2O,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1931.6697397123248,1934.6796397123248
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,6,0,H2O,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1931.921558829075,1934.931458829075
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,7,1,H2O,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1932.1733779458248,1935.1832779458248
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,8,2,H2O,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1932.4251970625749,1935.4350970625749
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,4,-2,NH3,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1931.6639244912474,1934.6738244912474
/Users/terry/Downloads/Mannually checked ECD_29_July_ZD/S20G_04_10-11ECD_Rep2/RE0.txt,1,,,6,2,4,5,-1,NH3,1,1937.9407092040851,1937.4275,264.82193270809125,14980.0,0.3967161016949153,-0.5132092040851148,1931.9157436079972,1934.9256436079972
